"survey_type","province","gender","birth","nationality","religion","religion_freq","edu","edu_status","income","political","floor_area","property_0","property_1","property_2","property_3","property_4","property_5","property_6","property_7","property_8","height_cm","weight_jin","health","health_problem","depression","hukou","hukou_loc","media_1","media_2","media_3","media_4","media_5","media_6","leisure_1","leisure_2","leisure_3","leisure_4","leisure_5","leisure_6","leisure_7","leisure_8","leisure_9","leisure_10","leisure_11","leisure_12","socialize","relax","learn","social_neighbor","social_friend","socia_outing","equity","class","class_10_before","class_10_after","class_14","work_exper","insur_1","insur_2","insur_3","insur_4","family_income","family_m","family_status","house","car","son","daughter","minor_child","marital","marital_1st","s_birth","marital_now","s_edu","s_political","s_hukou","s_income","s_work_exper","f_birth","f_edu","f_political","f_work_14","m_birth","m_edu","m_political","m_work_14","status_peer","status_3_before","view","inc_ability","inc_exp","trust_1","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","trust_8","trust_9","trust_10","trust_11","trust_12","trust_13","neighbor_familiarity","public_service_1","public_service_2","public_service_3","public_service_4","public_service_5","public_service_6","public_service_7","public_service_8","public_service_9","invest"
1,6,2,1988,1,1,1,6,4,24000,1,200,0,1,1,0,0,0,0,0,0,165,100,4,4,5,1,2,2,1,1,5,5,1,1,3,3,4,4,4,3,3,4,5,5,1,3,3,1,2,3,2,4,4,3,4,3,5,2,1,2,2,60000,5,3,1,2,0,2,2,3,2014,1989,2014,5,1,1,36000,1,1968,1,1,2,1968,1,1,2,2,2,4,2,50000,3,4,4,4,4,4,3,4,5,5,4.38935960646141,4,3,4,78,80,80,80,80,79,81,80,80,1
2,23,1,1968,1,0,3,1,3.59288519110521,8000,1,199,0,1,1,1,0,0,0,0,0,173,120,4,2,2,1,1,1,1,5,5,1,2,1,4,2,5,5,5,5,5,5,4,4,5,4,4,1,5,5,1,2,6,6,7,5,4,1,2,2,2,16500,3,3,3,2,0,2,1,3,1990,1970,1990,1,1,1,8000,4,1945,10,1,2,1948,1,1,2,3,1,4,2,40000,5,5,5,3,5,4,3,3,3,3,3,3,1,5,100,20,60,70,60,80,62,52,75,1
1,21,1,1964,1,1,3,10,4,36000,4,80,0,1,1,0,0,1,0,0,0,171,120,4,5,4,2,1,4,3,2,4,4,1,1,5,4,1,5,4,4,3,1,5,5,1,2,3,3,5,5,1,3,4,4,5,4,1,1,1,2,2,36000,2,2,1,2,0,1,0,3,1990,1967,1990,7,1,2,0,5,1928,3,4,1,1936,1,1,1,2,1,5,2,50000,2,3,3.24825152823281,2.94519017910761,4,3,2,3,3,4,3.73265668782947,3.93238845330581,1,4,80,80,70,70,70,70,70,70,60,1
1,4,2,1939,1,1,1,3,2,40000,1,56,0,1,0,0,0,0,0,0,0,156,115,1,1,1,5,1,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,2,1,5.0966785950687,5.48142214261988,1,3,1,7,1,4,5,1,1,2,2,90000,2,3,1,2,0,4,0,3,1957,1940,1957,4,4,5,50000,5,1916,1,1,2,1917,1,1,2,2,3,3,2,40000,2,2,4,4,4,4,4,4,4,4,3.68971722019275,5,2,3,80,70,70,65,70,60,80,80,70,1
2,15,2,1935,1,0,4,1,2.70214881423449,1000,1,40,0,0,1,0,0,0,0,0,0,136,65,1,2.10066549261829,2.74231513066942,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,3,1,1,5,3,1,5,2,1,3,1.68284269563587,4,1,1.12499437434206,2,2,30000,4,3,1,2,0,1,0,3,1960,1936,1960,1,1,1,9000,4,1912.72689751313,1.79989873157281,1,2,1916.59680338603,1.29269332179388,1,2,3,2,3,2,50000,4,2,2,3,3,3,3,3,3,3,3.34632073035388,3.04254039665545,2,5,79.0597424749726,80,70,75.687584639117,76.6250118843287,77.6255388189931,80,78.8107803605421,80,1
2,29,1,1983,1,1,1,4,2,45000,1,120,0,0,0,0,1,0,0,0,0,185,185,4,5,3,1,1,2,2,2,5,5,1,2,4,4,4,5,5,5,1,5,5,5,1,3,4,1,5,7,1,4,6,3,6.53796461186376,5,1,1,1,1,2,50000,5,3,1,2,1,0,1,3,2013,1987,2013,4,1,1,0,1,1945,1,1,2,1945,3,1,15,2,1,5,2,60000,4,2,2,2,4,4,2,4,2,2,2.08580558583317,2,2,5,100,100,100,100,60,100,100,60,66.3218524809382,1
1,6,2,1974,1,0,4,4,4,0,2,63,0,1,1,0,0,0,0,0,0,162,120,2,3,3,1,3,2,2,2,4,4,3,1,3,4,4,4,3,4,2,4,4,5,2,2,4,2,6,3,1,2,5,4,6,3,5,1,2,2,2,36000,3,3,1,2,1,0,0,3,2000,1977,2000,5,1,2,36000,1,1932,1.79989873157281,1,2,1932.81666692409,1,1,2,2,2,3,2,20000,3,3,3,3,5,4,2,3,3,3,3,3,1,2,80,70,70,80,70,60,70,80,80,1
2,31,2,1962,1,0,8,6,4,0,1,90,0,1,1,0,0,0,0,0,0,155,90,2,2,3,1,1,2,2,3,5,1,1,1,5,3,4,4,3,3,5,4,3,5,5,3,4,2,1,2,2,2,1,1,1,1,3,1,1,1,1,20000,1,3,1,2,0,2,0,3,1985,1960,1985,4,1,1,20000,3,1922,4,1,2,1922,3,1,2,2,1,4,2,50000,4,4,4,4,4,4,4,4,4,4,4,4,1,5,50,50,50,50,50,50,30,40,50,1
1,4,1,1976,1,1,1,7,4,1e+05,1,77,0,1,0,0,0,0,0,0,0,170,135,5,5,5,4,3,4,4,4,4,4,4,2,3,2,3,3,3,2,2,3,3,3,2,3,3,3,4,4,4,4,6,6,5,4,1,1,1,2,2,2e+05,5,3,1,1,1,0,1,3,2006,1980,2006,7,1,5,50000,1,1945,4,1,1,1945,1,1,2,2,2,3,2,1e+07,4,3,3,4,3,3,4,4,3,3,3,4,4,4,80,70,70,70,70,70,70,70,70,1
1,4,1,1965,1,1,1,4,4,1e+05,4,91,0,0,1,0,0,0,0,0,0,175,160,5,5,5,2,1,4,2,5,4,4,4,1,4,3,1,4,3,3,1,1,2,5,1,4,4,4,5,3,3,4,6,5,6,3,1,1,1,2,2,1e+05,4,3,2,1,1,1,0,3,1986,1963,1986,4,1,2,0,4,1939,3,1,1,1944,4,1,2,2,1,3,2,120000,4,4,5,5,5,5,4,5,4,4,1,5,1,5,60,50,40,50,50,80,80,80,80,1
1,27,1,1951,3,1,1,4,4,25000,1,71,0,0,1,0,0,0,0,0,0,165,130,2,2,3,2,1,2,2,2,5,1,1,1,4,4,4,5,5,5,2,1,5,5,5,3,4,1,1,5,1,2,3,3,3,3,5,1,1,2,2,80000,5,2,1,2,1,0,0,3,1976,1953,1976,4,1,2,20000,5,1929,2,4,1,1929,2,1,1,2,2,5,2,60000,2,1,2.30576962754447,2.04520591646319,5,4,2,3,2,5,3.78088555544791,4.03756271830081,1,4,50,50,60,50,60,60,50,50,50,1
2,9,2,1948,1,1,1,1,2.88657450345264,2000,1,100,0,0,1,0,0,0,0,0,0,160,120,1,2,2,1,1,1,1,1,4,1,1,1,5,3,5,5,3,5,5,5,5,5,5,2,3,1,3,7,2,4,1,1,4,1,4,1,1,2,2,20000,6,3,1,1,1,3,0,3,1970,1949,1970,3,1,1,4000,3,1921.6338846075,1,1,2,1923.58845118488,1,1,2,3,3,4,2,1000,4,4,4,4,4,3.84221644301268,4,3.86310434174989,4,3.56054286324623,3.83029280542653,3.91045113136849,3,5,100,100,100,100,100,100,100,100,100,1
1,21,2,1980,1,1,1,3,4,5000,1,220,0,0,0,0,0,1,0,0,0,154,90,4,4,3,1,2,1,1,1,2,1,1,2,5,2,5,5,3,3,4,5,5,5,5,4,3,1,1,2,1,4,5,4,6,1,4,1,1,2,2,40000,5,2,1,2,1,1,2,3,2003,1982,2003,4,1,1,30000,3,1952,3,1,2,1963,1,1,15,2,2,4,3,166609.946808086,5,4,4,4,4,4,3,5,5,3,2.94932180836135,3.11373855333748,1,3,60,70,50,50,60,40,60,40,70,1
1,19,1,1942,1,1,1,6,2,48000,1,80,0,0,0,0,0,0,0,0,1,172,120,3,3,3,4,1,2,2,2,5,2,2,1,5,5,4,5,4,4,5,2,5,5,5,2,4,1,5,5,1,4,7,5,7,3,5,1,1,2,2,48000,1,3,0,2,1,1,0,3,1967,1946,1967,4,1,5,0,5,1919.14637560317,1,1,2,1921.51782185437,1,1,3.56388030867426,1,1,3,2.05864218572999,3010219.47473543,2,2,2,2,4,3,2,2,2,2.22092404018362,2.08580558583317,2.14146123261644,2,2,80,85,70,90,70,75,90,90,90,1
1,12,1,1956,1,1,1,6,4,34460.2978734814,1,63,0,1,0,0,0,0,0,0,0,165,65,4,5,5,2,1,2,2,4,4,4,1,1,4,4,1,3,3,2,4,5,4,5,1,2,4,4,6,2,3,1,4,4,6,2,5,1,1,2,2,90000,3,3,1,2,0,1,0,3,1960,1938,1960,6,4,5,50000,1,1918,3,1,1,1921.51782185437,2.6375502536333,1,5,2,2,4,2.39872100105632,1569815.43725674,2,2,3,3,5,3,2,2,2,2.0710082152678,2.08580558583317,2.13447198530461,1,2,80,80,60,80,60,50,80,60,90,1
1,26,2,1970,1,1,1,4,4,20000,1,80,0,1,0,0,0,0,0,0,0,156,100,4,4,4,2,1,2,1,2,3,2,1,2,3,2,2,3,3,3,3,5,5,3,2,3,3,3,2,2,2,4,3,3,3,2,1,1,2,2,2,60000,2,2,1,2,1,0,0,3,1993,1967,1993,4,1,2,30000,1,1950,3,1,2,1953,3,1,2,2,2,3,2,80000,4,4,4,4,4,3,4,4,5,4,4,4,4,2,85,85,89,89,89,89,89,89,89,1
1,17,2,1966,1,1,1,4,4,19200,1,117,0,0,1,0,0,0,0,0,0,161,126,4,5,3,1,2,3,3,1,5,1,1,1,5,1,2,2,3,3,2,2,5,5,5,3,4,2,2,3,1,4,6,8,4,3,5,1,1,2,2,1e+05,1,3,2,2,0,2,0,3,1988,1968,1968,6,1,1,1e+05,1,1934,12,4,1,1937,1,1,2,2,2,4,2,30000,4,4,3,3,3,3,2,3,3,3,1.22282068392996,1,5,3,80,67,53.6428202525664,40,30,40,48.6830880265746,60,58.200377239289,1
1,31,2,1963,1,1,1,4,4,10000,1,79,0,1,0,0,0,0,0,0,0,158,140,3,3,3,2,1,3,3,1,4,3,3,1,5,3,4,4,3,4,2,4,5,4,3,3,3,1,5,5,6,4,5,3,5,3,5,1,2,2,2,20000,2,2,1,2,1,0,0,3,1985,1962,1985,5,4,2,10000,1,1938,7,1,1,1943,3,1,1,3,1,4,2,30000,3,3,3,3,4,4,3,3,3,3,3,3,2,3,80,80,80,80,80,80,80,80,80,1
1,4,1,1992,1,1,1,10,4,40000,2,140,0,0,0,0,0,0,0,0,1,183,135,4,4,3,1,3,1,2,3,3,5,5,4,3,4,3,4,4,2,1,2,5,4,2,4,4,4,7,2,6,2,4,1,7,3,1,1,2,1,2,40000,1,2,0,2,0,0,0.971565462905073,1,2010.21065262983,1987.03860476111,2010.91206408496,8.78673116766712,1.15647624905383,1.09406739150784,16581.76811396,1.20096796723594,1970,5,1,9,1971,3,1,5,2,1,2,2,2e+05,2,2,2,2,4,2,2,2,2,2,2,2,2,2,60,40,40,40,50,40,60,80,70,1
2,18,1,1947,1,1,1,1,2.38358118360217,3000,1,80,0,0,0,1,0,0,0,0,0,168,110,2,2,3,1,1,1,1,3,1,1,1,3,5,3,5,5,5,4,5,5,5,5,5,4,4,1,2,2,3,4,4,3,6,3,3,1,1,2,2,40000,2,2,1,2,2,1,0,3,1976,1954,1976,1,1,1,1000,3,1920,1,1,2,1922,1,1,2,3,1,4,2,6000,5,4,4,4,5,4,4,3.96920189152433,3,3,3,3,2,5,80,79,89,78,80,68,80,80,79,1
1,4,1,1979,1,1,2,11,4,80000,1,57,0,0,0,0,1,0,0,0,0,171,146,4,4,3,2,1,1,1,2,5,5,1,1,4,1,5,5,4,3,2,4,4,5,1,2,3,3,6,6,2,4,6,4,8,3.98429686065061,1,1,1,2,2,170000,2,3,1,1,0,0,0.971565462905073,3,2012,1987,2012,10,1,2,110000,1,1941,4,1,1,1948,4,1,1,2,1,3,3,120000,4,3,3.24825152823281,2.94519017910761,4,3,3,5,3,3,2.98930183974061,3,3,4,50,60,50,60,50,60,50,60,70,1
1,27,2,1965,1,1,1,4,2,20000,1,90,0,0,1,0,0,0,0,0,0,175,100,4,4,4,2,3,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,5,5,5,2,2,2,3,4,2,4,5,3,7,3,1,2,2,2,1,40000,2,4,1,2,1,0,0,3,1984,1963,1984,4,1,2,20000,1,1942,4,1,2,1939,4,1,15,2,1,4,2,60000,4,3,4,3,5,3,3,3,2,2.81593537970944,2.94932180836135,3,1,3,60,60,70,70,60,70,60,70,60,1
1,4,1,1926,1,1,1,12,4,1e+05,1,70,0,1,0,0,0,0,0,0,0,170,120,2,2,2,2,1,2,2,1,2,1,1,1,5,4,4,5,4,4,5,4,5,5,5,1,5,1,4.93434433434306,5.23718684434862,1,4,10,10,10,5,5,2,1,2,2,150000,3,4,1,2,2,3,0,3,1947,1928,1947,3,1,2,30000,5,1914.78501299205,3,1,2,1921.51782185437,1,1,2,1,2,3,2,150000,4,4,4,4,4,4,4,4,4,4,3.65331438816034,4,3,5,90,85,70,70,70,80,80,85,90,1
1,16,2,1987,1,1,1,4,4,150000,1,240,0,0,1,0,0,0,0,0,0,168,98,5,4,4,1,1,3,3,1,4,4,4,2,3,3,2,3,3,3,2,3,4,4,1,3,3,3,3,3,2.34687468355768,3,5,2,9,7,1,1,2,2,2,150000,2,2,0,2,2,0,2,3,2005,1987,2005,4,1,1,10000,1,1965,3,1,1,1967,2,1,1,2,1,3,2,1e+05,3,3,4,4,5,5,5,3,3,3,2,2,1,2,60,65,60,60,65,60,70,60,65,1
2,9,2,1937,1,0,3,1,2.48477875398618,660,4,40,0,1,1,0,0,0,0,0,0,150,80,2,3,3,1,1,1,1,4,1,1,1,4,5,5,5,5,4,4,1,4,5,5,5,2,3,1,7,7,1,4,4,5,4.40145039346053,3,4,1,1,2,2,10000,2,2,1,2,3,1,0,3,1963,1941,1963,4,1,1,10000,3,1913.0865082896,2,1,2,1916.59680338603,1,1,2,3,2,3,2,5841642.96017156,4,4,4,4,4,3,3,3.73722609376609,4,3.94384501081957,5,4.45510212608005,2,5,70,80,80,80,80,80,70,80,80,1
1,15,1,1957,1,1,1,4,4,20000,1,25,0,0,0,0,0,0,0,0,1,172,150,4,3,3,1,3,2,2,2,5,1,1,4,3,4,5,5,4,4,4,5,5,4,5,3,4,1,2,5,6,4,2,2,3,1.78579365983264,1,1,1,2,2,30000,1,3,1,2,1,1,1,3,1982,1957,1982,4,1,1,10000,3,1930.99634109982,2,1,2.09807900643629,1932.81666692409,1,1,3.36431493007655,2,2,3,2.37171153261307,36000,5,4,4,4,4,3,3,5,4,4,3,3.48000207520966,4,3,40,20,20,50,0,30,40,60,30,1
1,5,2,1969,1,0.969057852536867,1,9.80042889949532,4,60000,1,70,0,0,1,0,0,0,0,0,0,165,105,5,4,4,2,1,3,3,4,3,3,4,2,3,3,2,3,3,2,3,3,4,3,2,3,3,3,3,3,2,2,6,5,6,3,1,1,1,2,2,80000,2,4,1,2,0,1,0,3,1993,1961,1993,9,1,2,80000,1,1938.56212051809,3,1,2,1940.05369498981,3,1,2,2,2,4,2,1e+05,4,4,4,3,4,4,3,3,4,4,3,4,4,4,80,88,80,80,80,70,70,80,98,1
1,26,1,1960,1,1,1,6,4,15600,1,24.2,0,1,0,0,0,0,0,0,0,173,135,4,4,4,2,2,4,2,2,5,1,2,1,5,4,2,5,4,4,2,3,5,5,5,3,3,2,2,3,2,2,4,4,4,2,1,1,1,2,2,15600,1,2,1,2,1,0,0,6,1982.38067584695,1960.9587551553,1993.81069319722,5.16575233430024,1.0742293120168,1.97985108785736,15885.1076310219,3.51843784108377,1936.2013547745,3.18146057900416,1,2,1938,3,1,4,3,2,4,2,3000,3,3,3,3,4,2,3,3,3,2.97877163261051,2.94932180836135,3.04265632889432,2,4,60,70,70,60,70,70,60,60,60,1
1,27,2,1971,1,1,1,10,4,27934.9190163581,1,180,0,1,1,0,0,0,0,0,0,160,120,4,5,5,5,2,1,1,1,2,4,1,4,3,3,4,4,2,2,1,1,4,5,1,4,4,3,2,2,2,4,8,5,8,3,5,2,2,1,2,51788.8472724258,4,3,1,1,1,1,2,3,1996,1972,1996,3,1,1,24301.1056911305,4,1944.65848266407,4,1,16,1947.58115690296,4,1,2,2,1,4,2,50000,4,5,4,4,5,5,5,3,2,3,2,4,1,2,80,80,90,80,70,80,80,90,60,1
1,28,2,1960,1,1,1,3,4,15000,1,180,0,1,1,1,0,0,0,0,0,160,105,5,4,4,5,1,4,3,2,5,1,4,2,5,3,2,5,3,3,3,4,5,5,5,2,4,4,2,5,2,4,4,1,2,1,1,1,1,2,2,35000,2,3,1,2,0,2,0,3,1981,1957,1981,6,1,4,20000,1,1932.36817050032,1.79989873157281,1,2,1932.81666692409,1.29269332179388,1,2,2,1,4,2,40000,4,4,4,4,5,5,4,4,4,4,4,4,2,4,80,80,80,80,70,80,80,80,80,1
2,2,2,1973,8,0,3,4,2,12000,1,300,0,0,1,0,0,0,0,0,0,169,120,4,3,3,1,1,3,3,2,4,2,2,1,5,3,4,4,3,3,3,3,5,2,5,3,3,3,3,3,1,4,6,6,6,6,1,1,1,2,2,35000,4,3,1,2,1,1,1,3,1993,1968,1993,6,1,2,10000,1,1947.3904070745,1,1,16,1950.10459341616,1,1,2,2,2,3,2,20000,5,5,5,5,5,5,5,5,5,5,4,4,1,5,70,70,70,70,70,70,70,70,70,1
2,24,1,1959,1,1,3,4,4,10000,1,15,0,1,0,0,0,0,0,0,0,160,122,3,3,3,1,1,1,3,1,5,1,4,1,5,3,4,4,4,5,2,5,5,5,5,3,3,2,3,7,4,4,4,2,5,1,3,1,2,2,2,10000,2,2,1,2,1,1,1,7,1980,1956.8942648282,1993.81069319722,3.0530959775242,1.05455205983293,1.09406739150784,15885.1076310219,2.94362742457025,1928,3,1,2,1930,1,1,2,2,3,3,2,1e+05,3,2,4,3,4,4,2,2,4,3,4,4,1,5,85,90,70,70,70,70,85,90,90,1
2,10,2,1969,1,1,1,4,4,20000,1,90,0,1,0,0,0,0,0,0,0,162,115,3,3,4,1,1,2,2,1,5,3,1,1,5,2,3,5,4,2,5,5,5,5,3,4,5,1,2,2,2,4,4,3,4,3,2,1,2,2,2,30000,4,2,1,2,1,0,0,3,1994,1969,1994,6,1,1,10000,1,1922,2,1,1,1931,1,1,2,2,2,4,2,50000,4,4,3,3,4,3,2,4,2,2.15180949976967,2.08580558583317,2.21494757979773,2,4,70,60,70,70,80,50,70,70,70,1
1,4,2,1984,1,1,1,4,4,10000,1,56,0,0,1,0,0,0,0,0,0,159,115,3,5,5,2,1,1,1,3,5,3,1,1,5,3,5,3,3,3,2,1,5,5,2,1,5,1,2.21623173897692,2.30654255241703,1,1,5,5,7,5,1,1,2,2,2,20000,4,2,1,2,1,1,2,3,2007.28338270656,1984,2006.41438674135,6,1,2,0,5,1956.78168907789,3,1,11,1958,4,1,1,2,1,3,2,50000,3,3,3,3,3,3,3,4,2,3,2,4,2,4,100,60,100,100,100,100,100,100,100,1
1,29,2,1997,1,1,1,6,4,0,2,126,0,0,0,0,1,0,0,0,0,160,112,5,5,5,1,2,1,2,2,4,5,1,1,3,2,4,4,4,3,1,2,3,3,1,4,4,3,3,3,1,1,4,4,9,7,6,2,2,2,2,60000,4,3,1,1,0,0,0.971586075349893,1,2010.21065262983,1987.03860476111,2010.91206408496,5.0771812994357,1.43041705647021,1.09406739150784,24301.1056911305,1.24152859490708,1975,3,1,8,1978,3,1,15,2,2,2,2.23575691324226,166609.946808086,3,3,4,4,4,3.08158012056112,2,3,3,3,3,3,2,2,80,80,60,70,60,80,80,90,90,1
1,11,2,1993,1,1,1,12,1,3000,2,200,0,0,0,0,1,0,0,0,0,167,120,4,3,3,2,1,3,3,2,4,5,2,1,4,3,2,4,4,4,1,2,4,5,1,3,3,4,5,5,6,3,3,2,5,3,6,1,1,2,2,70000,4,3,1,2,0,0,0.971586075349893,1,2010.21065262983,1987.03860476111,2010.91206408496,10.140981715896,1.65855982502433,1.97985108785736,24301.1056911305,1.32084000425277,1969,12,4,1,1970,6,1,15,2,2,3,2.35130402585951,1e+05,4,3,3,3,5,4,1,4,3,3,2.48487886401485,4,1,4,70,70,65,65,50,80,80,75,80,1
2,17,1,1993,1,1,1,4,4,55000,2,200,0,0,0,0,1,0,0,0,0,170,125,5,5,4,1,1,2,2,1,3,5,4,1,4,3,4,4,4,2,4,3,5,5,1,3,3,4,6,6,1,4,3,2,9,2,1,1,2,2,2,80000,3,2,1,2,0,0,0.971565462905073,1,2010.21065262983,1987.03860476111,2010.91206408496,4.72697315347481,1.0613845957181,1.09406739150784,20849.0113164892,1.24680469769444,1968,4,1,12,1972,3,1,12,3,1,2,2,1e+05,4,2,4,4,4,4,2,3,2,4,3,3,1,2,90,80,70,50,70,80,60,70,70,1
